r_l_VM,Time
-0.063610949,125.2
-0.045456844,125.6
-0.027316921,126
0.009348768,126.4
0.070333641,126.8
0.154908352,127.2
0.257918979,127.6
0.367719822,128
0.465886764,128.4
0.538081695,128.8
0.574155198,129.2
0.567178351,129.6
0.515125476,130
0.421209068,130.4
0.298592527,130.8
0.173704543,131.2
0.069201928,131.6
-0.006084936,132
-0.04888932,132.4
-0.058329074,132.8
-0.03773428,133.2
-0.000481312,133.6
0.039253282,134
0.081157175,134.4
0.115982087,134.8
0.135208551,135.2
0.150639423,135.6
0.166266664,136
0.182557334,136.4
0.209288872,136.8
0.253972264,137.2
0.313918904,137.6
0.373187082,138
0.407714666,138.4
0.400906736,138.8
0.348752607,139.2
0.255934878,139.6
0.138651715,140
0.020041279,140.4
-0.07602856,140.8
-0.135262202,141.2
-0.162862627,141.6
-0.172990877,142
-0.174581359,142.4
-0.172483931,142.8
-0.170576087,143.2
-0.171867769,143.6
-0.181575013,144
-0.206594971,144.4
-0.241294698,144.8
-0.265556392,145.2
-0.261262512,145.6
-0.221508745,146
-0.152951295,146.4
-0.073909182,146.8
0.001406152,147.2
0.074401679,147.6
0.147993296,148
0.233099283,148.4
0.332573439,148.8
0.438805171,149.2
0.541871729,149.6
0.630669997,150
0.695364225,150.4
0.725562276,150.8
0.709166367,151.2
0.642308339,151.6
0.531494794,152
0.385241919,152.4
0.214317269,152.8
0.037106519,153.2
-0.122508676,153.6
-0.256243568,154
-0.369098234,154.4
-0.46626604,154.8
-0.553371561,155.2
-0.63839368,155.6
-0.72525211,156
-0.807596999,156.4
-0.869343366,156.8
-0.8964735,157.2
-0.891877102,157.6
-0.863402459,158
-0.832555996,158.4
-0.816527805,158.8
-0.818667637,159.2
-0.8340521,159.6
-0.856698237,160
-0.883952698,160.4
-0.915348009,160.8
-0.947482066,161.2
-0.967880804,161.6
-0.966625492,162
-0.946619466,162.4
-0.910645143,162.8
-0.860710136,163.2
-0.808966409,163.6
-0.766080558,164
-0.735928319,164.4
-0.718665531,164.8
-0.699682828,165.2
-0.660551301,165.6
-0.60138362,166
-0.537176271,166.4
-0.480403847,166.8
-0.437404712,167.2
-0.410884507,167.6
-0.401240047,168
-0.406434963,168.4
-0.426212143,168.8
-0.461974417,169.2
-0.515472241,169.6
-0.58337876,170
-0.64742205,170.4
-0.684166763,170.8
-0.681940017,171.2
-0.657362554,171.6
-0.635759062,172
-0.626295925,172.4
-0.629423662,172.8
-0.644747046,173.2
-0.672294875,173.6
-0.711121771,174
-0.748577973,174.4
-0.755439992,174.8
-0.721170139,175.2
-0.659061972,175.6
-0.577447701,176
-0.477125225,176.4
-0.371761432,176.8
-0.275933551,177.2
-0.197525649,177.6
-0.140587202,178
-0.107590121,178.4
-0.10035099,178.8
-0.1182289,179.2
-0.147114047,179.6
-0.158399567,180
-0.139159658,180.4
-0.101176642,180.8
-0.065602454,181.2
-0.037333203,181.6
-0.011085909,182
0.016895596,182.4
0.048769363,182.8
0.083947738,183.2
0.119373821,183.6
0.158478933,184
0.208173296,184.4
0.26353206,184.8
0.316818756,185.2
0.366335163,185.6
0.40832349,186
0.43561365,186.4
0.454675049,186.8
0.472785283,187.2
0.479362469,187.6
0.459796899,188
0.408417548,188.4
0.329540089,188.8
0.23768765,189.2
0.147148,189.6
0.055303263,190
-0.050298273,190.4
-0.167071048,190.8
-0.273709259,191.2
-0.355727808,191.6
-0.409471142,192
-0.437736257,192.4
-0.448176676,192.8
-0.446923717,193.2
-0.427544063,193.6
-0.391038625,194
-0.357429261,194.4
-0.329295741,194.8
-0.300876922,195.2
-0.269221574,195.6
-0.223874761,196
-0.152370974,196.4
-0.06163998,196.8
0.030037631,197.2
0.115693594,197.6
0.197922955,198
0.279517647,198.4
0.356431926,198.8
0.412764794,199.2
0.434324798,199.6
0.420287801,200
0.384494382,200.4
0.340182733,200.8
0.289713331,201.2
0.233287081,201.6
0.172463015,202
0.110651409,202.4
0.051805985,202.8
-0.008568322,203.2
-0.091489822,203.6
-0.212334678,204
-0.358159032,204.4
-0.516923872,204.8
-0.673637866,205.2
-0.806555003,205.6
-0.905856512,206
-0.976338583,206.4
-1.020222489,206.8
-1.036900515,207.2
-1.028548055,207.6
-1.00303698,208
-0.97432705,208.4
-0.957086322,208.8
-0.954999657,209.2
-0.965593972,209.6
-0.984066634,210
-0.999916149,210.4
-1.001665244,210.8
-0.98717126,211.2
-0.962295597,211.6
-0.931473762,212
-0.898245819,212.4
-0.869136408,212.8
-0.849961638,213.2
-0.84351918,213.6
-0.844178296,214
-0.838857978,214.4
-0.8180179,214.8
-0.777797519,215.2
-0.717530406,215.6
-0.63774817,216
-0.537537077,216.4
-0.409130282,216.8
-0.248855842,217.2
-0.080886994,217.6
0.071701483,218
0.197220025,218.4
0.29146875,218.8
0.355837112,219.2
0.396222968,219.6
0.417464976,220
0.413368418,220.4
0.368042569,220.8
0.275311426,221.2
0.146636594,221.6
0.003245405,222
-0.139479664,222.4
-0.275036379,222.8
-0.394778491,223.2
-0.482507661,223.6
-0.522108578,224
-0.509466098,224.4
-0.452023535,224.8
-0.359366964,225.2
-0.238863062,225.6
-0.096971272,226
0.054264397,226.4
0.174769227,226.8
0.243916094,227.2
0.282850971,227.6
0.304462338,228
0.313136427,228.4
0.310882928,228.8
0.302438345,229.2
0.294598987,229.6
0.270845586,230
0.220093147,230.4
0.153079899,230.8
0.08587776,231.2
0.028663297,231.6
-0.021641727,232
-0.073232304,232.4
-0.133674164,232.8
-0.197100999,233.2
-0.243106809,233.6
-0.267964012,234
-0.279769185,234.4
-0.282980925,234.8
-0.276193122,235.2
-0.264266564,235.6
-0.266048355,236
-0.287386918,236.4
-0.298013941,236.8
-0.281704184,237.2
-0.248885542,237.6
-0.207893822,238
-0.159562272,238.4
-0.105581266,238.8
-0.057401169,239.2
-0.039616489,239.6
-0.055088533,240
-0.093497382,240.4
-0.142686893,240.8
-0.192396523,241.2
-0.240053239,241.6
-0.289801044,242
-0.343929638,242.4
-0.389967101,242.8
-0.415683047,243.2
-0.426883701,243.6
-0.428886399,244
-0.425967715,244.4
-0.424912354,244.8
-0.433308928,245.2
-0.453191256,245.6
-0.473883904,246
-0.485529273,246.4
-0.483431266,246.8
-0.47213043,247.2
-0.463297891,247.6
-0.463672438,248
-0.477362519,248.4
-0.499480114,248.8
-0.518486153,249.2
-0.522528323,249.6
-0.499896264,250
-0.442196712,250.4
-0.35187697,250.8
-0.238734424,251.2
-0.113950079,251.6
0.006791093,252
0.104291623,252.4
0.168051139,252.8
0.209083118,253.2
0.251557131,253.6
0.302627923,254
0.351113772,254.4
0.389171034,254.8
0.413170222,255.2
0.418436643,255.6
0.403515383,256
0.366299332,256.4
0.30117973,256.8
0.203130827,257.2
0.076112214,257.6
-0.06727414,258
-0.211982692,258.4
-0.348661805,258.8
-0.474917773,259.2
-0.590722612,259.6
-0.697318755,260
-0.797746797,260.4
-0.893352557,260.8
-0.980073452,261.2
-1.054419416,261.6
-1.109062849,262
-1.125342873,262.4
-1.082164529,262.8
-0.977174048,263.2
-0.832950852,263.6
-0.671787403,264
-0.508764911,264.4
-0.355524472,264.8
-0.212093943,265.2
-0.073280239,265.6
0.064536006,266
0.204321249,266.4
0.349457575,266.8
0.49733925,267.2
0.634332244,267.6
0.745003176,268
0.817416129,268.4
0.842872796,268.8
0.820706901,269.2
0.763734623,269.6
0.689556274,270
0.618937264,270.4
0.56909076,270.8
0.533909838,271.2
0.500435416,271.6
0.463716495,272
0.424107197,272.4
0.382145857,272.8
0.333612844,273.2
0.269479148,273.6
0.181241643,274
0.073283373,274.4
-0.037465337,274.8
-0.14007424,275.2
-0.23078519,275.6
-0.308604995,276
-0.377038116,276.4
-0.447507766,276.8
-0.53236117,277.2
-0.630200735,277.6
-0.731454316,278
-0.825608346,278.4
-0.89927758,278.8
-0.94075507,279.2
-0.950060186,279.6
-0.935139695,280
-0.914736566,280.4
-0.897228067,280.8
-0.87703589,281.2
-0.854952202,281.6
-0.834045982,282
-0.818957251,282.4
-0.816552167,282.8
-0.819523748,283.2
-0.818170239,283.6
-0.814887181,284
-0.813520972,284.4
-0.815659474,284.8
-0.821796217,285.2
-0.832069095,285.6
-0.846371616,286
-0.863959896,286.4
-0.88251531,286.8
-0.898619702,287.2
-0.91409032,287.6
-0.933287448,288
-0.9506766,288.4
-0.959010731,288.8
-0.963634451,289.2
-0.975205526,289.6
-0.994635932,290
-1.005886318,290.4
-1.002900041,290.8
-0.987473951,291.2
-0.953669956,291.6
-0.895480895,292
-0.807143879,292.4
-0.686507471,292.8
-0.55340162,293.2
-0.430282503,293.6
-0.325677788,294
-0.244220769,294.4
-0.19026437,294.8
-0.157343964,295.2
-0.12505768,295.6
-0.081499959,296
-0.027531521,296.4
0.030052865,296.8
0.086971409,297.2
0.147783427,297.6
0.206790048,298
0.244366674,298.4
0.243392395,298.8
0.202085949,299.2
0.131816649,299.6
0.049216081,300
-0.025629952,300.4
-0.078619244,300.8
-0.104225921,301.2
-0.102952217,301.6
-0.081224569,302
-0.052039049,302.4
-0.024957318,302.8
0.001938476,303.2
0.023232786,303.6
0.028581088,304
0.023398031,304.4
0.034180426,304.8
0.081456006,305.2
0.159862479,305.6
0.256824697,306
0.363191538,306.4
0.473132893,306.8
0.578546658,307.2
0.662224443,307.6
0.718769318,308
0.752944993,308.4
0.764419928,308.8
0.761634776,309.2
0.75820255,309.6
0.765677176,310
0.785617111,310.4
0.814835637,310.8
0.850847781,311.2
0.892180986,311.6
0.937936851,312
0.987585042,312.4
1.038146659,312.8
1.077934356,313.2
1.096288079,313.6
1.08943658,314
1.062385092,314.4
1.018225079,314.8
0.956637381,315.2
0.877828595,315.6
0.782076889,316
0.668257637,316.4
0.531160972,316.8
0.371335553,317.2
0.206778356,317.6
0.050871762,318
-0.089298471,318.4
-0.2007461,318.8
-0.273729447,319.2
-0.342053545,319.6
-0.41266112,320
-0.464886565,320.4
-0.482610126,320.8
-0.460036565,321.2
-0.396463027,321.6
-0.294260237,322
-0.160903568,322.4
-0.011855448,322.8
0.135062172,323.2
0.270072492,323.6
0.398308041,324
0.525861531,324.4
0.647663884,324.8
0.74408668,325.2
0.800815866,325.6
0.81994014,326
0.813820268,326.4
0.801676927,326.8
0.801191534,327.2
0.810871658,327.6
0.825684778,328
0.842103115,328.4
0.848197656,328.8
0.815182125,329.2
0.772368042,329.6
0.746468616,330
0.738013069,330.4
0.74268862,330.8
0.75781145,331.2
0.781849188,331.6
0.81525123,332
0.859463726,332.4
0.908141788,332.8
0.945029148,333.2
0.958101784,333.6
0.940522304,334
0.884066344,334.4
0.783257793,334.8
0.650057519,335.2
0.502161311,335.6
0.350358738,336
0.197891397,336.4
0.044328593,336.8
-0.109424477,337.2
-0.261023115,337.6
-0.408751012,338
-0.55343198,338.4
-0.694082783,338.8
-0.821111228,339.2
-0.930250894,339.6
-1.021851824,340
-1.089520306,340.4
-1.118081003,340.8
-1.103920647,341.2
-1.059718313,341.6
-1.002892668,342
-0.953121536,342.4
-0.917765104,342.8
-0.884188753,343.2
-0.839826883,343.6
-0.779321249,344
-0.70154439,344.4
-0.607128393,344.8
-0.496984728,345.2
-0.371630005,345.6
-0.233950886,346
-0.089322338,346.4
0.058405893,346.8
0.20516501,347.2
0.344562298,347.6
0.470731097,348
0.580175223,348.4
0.670876253,348.8
0.742911641,349.2
0.800705652,349.6
0.853881712,350
0.901202784,350.4
0.922232501,350.8
0.89996,351.2
0.830318969,351.6
0.722094939,352
0.590411195,352.4
0.446307096,352.8
0.290652314,353.2
0.120908801,353.6
-0.056503602,354
-0.224080437,354.4
-0.367334104,354.8
-0.478630624,355.2
-0.554844792,355.6
-0.595566496,356
-0.602034992,356.4
-0.576588856,356.8
-0.522149844,357.2
-0.438310323,357.6
-0.31679737,358
-0.166939327,358.4
-0.010371508,358.8
0.148672637,359.2
0.313892421,359.6
0.480785377,360
0.638182499,360.4
0.766858131,360.8
0.851403778,361.2
0.888270489,361.6
0.874724084,362
0.810893083,362.4
0.710173228,362.8
0.595718853,363.2
0.489829112,363.6
0.406755755,364
0.34738923,364.4
0.309509215,364.8
0.292780984,365.2
0.294962863,365.6
0.304569175,366
0.315314623,366.4
0.334072108,366.8
0.367086969,367.2
0.41523983,367.6
0.46454445,368
0.511818575,368.4
0.571594705,368.8
0.646020066,369.2
0.722375679,369.6
0.784837695,370
0.821172872,370.4
0.826719672,370.8
0.802741794,371.2
0.756112796,371.6
0.701228651,372
0.657530158,372.4
0.634382039,372.8
0.628009273,373.2
0.63440771,373.6
0.658285565,374
0.714369159,374.4
0.785463155,374.8
0.830880281,375.2
0.833554267,375.6
0.801338448,376
0.747608378,376.4
0.675647476,376.8
0.586692322,377.2
0.482537853,377.6
0.364950369,378
0.235531082,378.4
0.097659919,378.8
-0.042643393,379.2
-0.182693692,379.6
-0.324745257,380
-0.47151018,380.4
-0.61763764,380.8
-0.753944446,381.2
-0.872098259,381.6
-0.966522188,382
-1.034455294,382.4
-1.071585053,382.8
-1.074310057,383.2
-1.043628846,383.6
-0.990826141,384
-0.950873672,384.4
-0.939403149,384.8
-0.942014196,385.2
-0.953914933,385.6
-0.978593838,386
-1.011101019,386.4
-1.031564512,386.8
-1.026409048,387.2
-0.993302655,387.6
-0.937957874,388
-0.870710706,388.4
-0.806755975,388.8
-0.752347739,389.2
-0.701919283,389.6
-0.65066852,390
-0.597797531,390.4
-0.5440937,390.8
-0.483984698,391.2
-0.407243739,391.6
-0.311033425,392
-0.197081384,392.4
-0.077935867,392.8
0.027016513,393.2
0.106352191,393.6
0.154622371,394
0.168737164,394.4
0.146370231,394.8
0.087568669,395.2
0.00406003,395.6
-0.075122109,396
-0.126201957,396.4
-0.14939229,396.8
-0.150871774,397.2
-0.134952487,397.6
-0.119939698,398
-0.123002256,398.4
-0.137529284,398.8
-0.155461502,399.2
-0.176779818,399.6
-0.20030845,400
-0.221193487,400.4
-0.232075975,400.8
-0.23380244,401.2
-0.241133203,401.6
-0.268447166,402
-0.315663784,402.4
-0.37094487,402.8
-0.420367013,403.2
-0.464021196,403.6
-0.513980993,404
-0.574610533,404.4
-0.640270125,404.8
-0.697825326,405.2
-0.735900102,405.6
-0.753733686,406
-0.754434525,406.4
-0.733620991,406.8
-0.690696004,407.2
-0.646288673,407.6
-0.614661729,408
-0.595010518,408.4
-0.587023923,408.8
-0.591593465,409.2
-0.610358572,409.6
-0.646274099,410
-0.704209039,410.4
-0.785655981,410.8
-0.87008167,411.2
-0.91960187,411.6
-0.912164507,412
-0.85453474,412.4
-0.770402975,412.8
-0.687973039,413.2
-0.626784826,413.6
-0.590934553,414
-0.575054485,414.4
-0.567906886,414.8
-0.558691515,415.2
-0.537631366,415.6
-0.494943079,416
-0.427732065,416.4
-0.35036988,416.8
-0.285224487,417.2
-0.247543863,417.6
-0.242587392,418
-0.263550525,418.4
-0.296631052,418.8
-0.331593089,419.2
-0.360428191,419.6
-0.372090761,420
-0.354225636,420.4
-0.30307858,420.8
-0.230974997,421.2
-0.166432769,421.6
-0.127270605,422
-0.117202979,422.4
-0.133338095,422.8
-0.171580997,423.2
-0.224974699,423.6
-0.280507864,424
-0.328669435,424.4
-0.368543342,424.8
-0.404355842,425.2
-0.444647075,425.6
-0.501052976,426
-0.579142984,426.4
-0.674728911,426.8
-0.781205588,427.2
-0.892181588,427.6
-0.997619404,428
-1.065895921,428.4
-1.072152666,428.8
-1.019097843,429.2
-0.918477892,429.6
-0.787906604,430
-0.651225648,430.4
-0.518196277,430.8
-0.390425236,431.2
-0.269974021,431.6
-0.158424686,432
-0.055905602,432.4
0.036357011,432.8
0.114179344,433.2
0.172672997,433.6
0.207885236,434
0.217188656,434.4
0.1991539,434.8
0.153166781,435.2
0.078566997,435.6
-0.026512861,436
-0.16472018,436.4
-0.33398081,436.8
-0.51652719,437.2
-0.674611402,437.6
-0.765363109,438
-0.779704332,438.4
-0.732498486,438.8
-0.64191725,439.2
-0.530271258,439.6
-0.418031991,440
-0.315570017,440.4
-0.22657863,440.8
-0.152787153,441.2
-0.094440084,441.6
-0.050621212,442
-0.022241551,442.4
-0.01523485,442.8
-0.029388382,443.2
-0.064110202,443.6
-0.120742151,444
-0.200447411,444.4
-0.304061462,444.8
-0.431868383,445.2
-0.582427813,445.6
-0.748855237,446
-0.910406795,446.4
-1.032126313,446.8
-1.088781709,447.2
-1.078559926,447.6
-1.009320871,448
-0.894696427,448.4
-0.753416871,448.8
-0.59273653,449.2
-0.416250344,449.6
-0.244515716,450
-0.095758098,450.4
0.036510729,450.8
0.162714235,451.2
0.28720814,451.6
0.408149796,452
0.51532964,452.4
0.59822413,452.8
0.645642878,453.2
0.651925108,453.6
0.616365232,454
0.539526774,454.4
0.421688958,454.8
0.262480125,455.2
0.070039676,455.6
-0.125493995,456
-0.292274223,456.4
-0.414215966,456.8
-0.482756465,457.2
-0.507757546,457.6
-0.50816646,458
-0.49581837,458.4
-0.478709623,458.8
-0.461754657,459.2
-0.444275472,459.6
-0.409290911,460
-0.33506018,460.4
-0.22185327,460.8
-0.08157872,461.2
0.070486335,461.6
0.217887002,462
0.351240691,462.4
0.468881014,462.8
0.571609229,463.2
0.663936603,463.6
0.74781476,464
0.794195128,464.4
0.788484989,464.8
0.742360502,465.2
0.687501722,465.6
0.64890554,466
0.630931376,466.4
0.622896201,466.8
0.600784068,467.2
0.554738007,467.6
0.495687921,468
0.43961828,468.4
0.402653575,468.8
0.393812472,469.2
0.414840521,469.6
0.46398769,470
0.529201706,470.4
0.595066663,470.8
0.651513187,471.2
0.693100871,471.6
0.716591642,472
0.71980182,472.4
0.704089221,472.8
0.675106781,473.2
0.62633146,473.6
0.534269645,474
0.407564314,474.4
0.26500598,474.8
0.124391606,475.2
-0.008359649,475.6
-0.144192458,476
-0.290086015,476.4
-0.434057033,476.8
-0.556815842,477.2
-0.642866035,477.6
-0.682874026,478
-0.670781299,478.4
-0.60792785,478.8
-0.516454314,479.2
-0.424777307,479.6
-0.355463149,480
-0.310060016,480.4
-0.277478674,480.8
-0.256892846,481.2
-0.251479576,481.6
-0.25872714,482
-0.271735764,482.4
-0.285458377,482.8
-0.305566899,483.2
-0.343626769,483.6
-0.405378236,484
-0.485461533,484.4
-0.573360276,484.8
-0.667980913,485.2
-0.767780295,485.6
-0.861204327,486
-0.931618903,486.4
-0.97349261,486.8
-0.989400508,487.2
-0.983970202,487.6
-0.967397166,488
-0.959030015,488.4
-0.965018965,488.8
-0.962591289,489.2
-0.931200684,489.6
-0.857691469,490
-0.743527666,490.4
-0.618270598,490.8
-0.510548935,491.2
-0.423252365,491.6
-0.353520899,492
-0.29939214,492.4
-0.254886116,492.8
-0.208046759,493.2
-0.150409352,493.6
-0.076922808,494
0.009539453,494.4
0.096227587,494.8
0.177122119,495.2
0.25117657,495.6
0.318600789,496
0.37956892,496.4
0.426543609,496.8
0.453060786,497.2
0.468559598,497.6
0.4885158,498
0.532391015,498.4
0.607181086,498.8
0.701166594,499.2
0.801679321,499.6
0.893091789,500
0.95688524,500.4
0.991663175,500.8
1.006212552,501.2
0.994026436,501.6
0.949269247,502
0.874160164,502.4
0.781368578,502.8
0.687205245,503.2
0.60354811,503.6
0.522030416,504
0.429340935,504.4
0.323157289,504.8
0.205786594,505.2
0.080074534,505.6
-0.053764049,506
-0.198461295,506.4
-0.347644653,506.8
-0.480842405,507.2
-0.58085585,507.6
-0.645970403,508
-0.684654255,508.4
-0.703665178,508.8
-0.706643385,509.2
-0.696808483,509.6
-0.679420167,510
-0.664047132,510.4
-0.662872422,510.8
-0.680657786,511.2
-0.71217268,511.6
-0.746844596,512
-0.76925551,512.4
-0.771886759,512.8
-0.765312536,513.2
-0.769319929,513.6
-0.78822277,514
-0.815315954,514.4
-0.84729534,514.8
-0.88265784,515.2
-0.92050322,515.6
-0.960063231,516
-1.0000372,516.4
-1.03400116,516.8
-1.051491524,517.2
-1.052592668,517.6
-1.038816034,518
-1.003524432,518.4
-0.937686838,518.8
-0.842816746,519.2
-0.738298344,519.6
-0.63723687,520
-0.544118833,520.4
-0.46178529,520.8
-0.395282528,521.2
-0.350283567,521.6
-0.332131429,522
-0.33279707,522.4
-0.335788071,522.8
-0.332554784,523.2
-0.321078161,523.6
-0.302237102,524
-0.278182314,524.4
-0.251690826,524.8
-0.224029706,525.2
-0.193156521,525.6
-0.161969992,526
-0.128216892,526.4
-0.076250786,526.8
0.003660951,527.2
0.106652667,527.6
0.222468303,528
0.335505024,528.4
0.431280057,528.8
0.509442401,529.2
0.566928515,529.6
0.598924698,530
0.608877101,530.4
0.601544264,530.8
0.58035631,531.2
0.55427616,531.6
0.540930874,532
0.549740529,532.4
0.576836099,532.8
0.616094378,533.2
0.659744661,533.6
0.700075652,534
0.732544853,534.4
0.75733436,534.8
0.772353563,535.2
0.765462631,535.6
0.732515379,536
0.677746245,536.4
0.601340642,536.8
0.499819061,537.2
0.374246687,537.6
0.231292215,538
0.085080843,538.4
-0.056519887,538.8
-0.204976973,539.2
-0.355880548,539.6
-0.496340281,540
-0.621878938,540.4
-0.731962236,540.8
-0.824785367,541.2
-0.898659546,541.6
-0.953227039,542
-0.990516286,542.4
-1.015125303,542.8
-1.031647645,543.2
-1.041351966,543.6
-1.042630149,544
-1.034326373,544.4
-1.020595535,544.8
-1.009479523,545.2
-0.995729112,545.6
-0.973660325,546
-0.947781237,546.4
-0.925814093,546.8
-0.906861611,547.2
-0.878207794,547.6
