r_r_VM,Time
-0.498387544,0.111770835
-0.533198342,0.504983977
-0.570540256,0.898197118
-0.606448898,1.291410259
-0.611090201,1.6846234
-0.627007397,2.077836541
-0.641848039,2.471049682
-0.637789978,2.864262824
-0.610616713,3.257475965
-0.566831276,3.650689106
-0.507138841,4.043902247
-0.437265265,4.437115388
-0.356650367,4.83032853
-0.261118124,5.223541671
-0.150547383,5.616754812
-0.034631363,6.009967953
0.066799709,6.403181094
0.138070638,6.796394235
0.178609943,7.189607377
0.203751242,7.582820518
0.222424898,7.976033659
0.229651878,8.3692468
0.208631462,8.762459941
0.128584471,9.155673083
-0.01407429,9.548886224
-0.190171773,9.942099365
-0.363505983,10.33531251
-0.514352814,10.72852565
-0.630114884,11.12173879
-0.693766789,11.51495193
-0.688296164,11.90816507
-0.615195999,12.30137821
-0.48555464,12.69459135
-0.312010608,13.08780449
-0.107704595,13.48101764
0.108515731,13.87423078
0.317418336,14.26744392
0.509670971,14.66065706
0.681138256,15.0538702
0.827705238,15.44708334
0.944814381,15.84029648
1.028059373,16.23350962
1.074601703,16.62672277
1.087391192,17.01993591
1.081189814,17.41314905
1.070856519,17.80636219
1.045530161,18.19957533
0.987535056,18.59278847
0.888702197,18.98600161
0.74853959,19.37921475
0.583694341,19.77242789
0.423907319,20.16564104
0.275510428,20.55885418
0.116424432,20.95206732
-0.048967452,21.34528046
-0.213543865,21.7384936
-0.372395508,22.13170674
-0.523283662,22.52491988
-0.671271314,22.91813302
-0.811695123,23.31134617
-0.91625244,23.70455931
-0.966431864,24.09777245
-0.957649798,24.49098559
-0.895344765,24.88419873
-0.795750549,25.27741187
-0.685010363,25.67062501
-0.576330376,26.06383815
-0.461036374,26.45705129
-0.327376721,26.85026444
-0.159501569,27.24347758
0.042978362,27.63669072
0.256512414,28.02990386
0.438304553,28.423117
0.556899955,28.81633014
0.62479767,29.20954328
0.655361866,29.60275642
0.65828697,29.99596957
0.636551785,30.38918271
0.594582819,30.78239585
0.55383218,31.17560899
0.54081026,31.56882213
0.557466627,31.96203527
0.5943841,32.35524841
0.630471605,32.74846155
0.646165202,33.14167469
0.635697093,33.53488784
0.602614117,33.92810098
0.552811886,34.32131412
0.49008445,34.71452726
0.409405786,35.1077404
0.290839861,35.50095354
0.123412802,35.89416668
-0.097447453,36.28737982
-0.363354371,36.68059297
-0.61576823,37.07380611
-0.805471573,37.46701925
-0.918004377,37.86023239
-0.953670878,38.25344553
-0.914681718,38.64665867
-0.804322504,39.03987181
-0.629378203,39.43308495
-0.403715901,39.82629809
-0.150475265,40.21951124
0.105760682,40.61272438
0.34919711,41.00593752
0.559341113,41.39915066
0.71599049,41.7923638
